epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,81.5844,1.10038,1.21797,1.00678,0.94907,0.98961,0.97929,0.73073,0.93038,0.79938,0.92144,0.0005941,0.0005941,0.0005941
43,83.4218,1.07919,1.11116,0.97865,0.94907,0.98961,0.97929,0.73073,0.93038,0.79938,0.92144,0.0005842,0.0005842,0.0005842
44,85.2657,1.17789,1.42127,1.02816,0.92815,0.99552,0.97524,0.74385,0.94116,0.88586,0.92444,0.0005743,0.0005743,0.0005743
45,87.154,1.05719,1.17663,0.95357,0.94647,0.98546,0.97131,0.71082,0.95929,0.86447,0.9284,0.0005644,0.0005644,0.0005644
46,89.0108,1.0935,1.17413,0.97532,0.93858,0.99224,0.97524,0.71031,0.99858,0.7289,0.93043,0.0005545,0.0005545,0.0005545
47,90.8442,1.03871,1.14202,0.97285,0.93858,0.99224,0.97524,0.71031,0.99858,0.7289,0.93043,0.0005446,0.0005446,0.0005446
48,92.6957,1.08289,1.16052,1.01299,0.94939,0.98673,0.97929,0.70928,1.00736,0.68216,0.92696,0.0005347,0.0005347,0.0005347
49,94.5555,1.08762,1.20987,0.9853,0.95416,0.9831,0.9831,0.70939,0.97917,0.73321,0.92147,0.0005248,0.0005248,0.0005248
50,96.4097,1.07399,1.09766,0.98692,0.94453,1,0.98714,0.73273,0.98223,0.72113,0.91965,0.0005149,0.0005149,0.0005149
51,98.2388,1.04806,1.15718,0.98371,0.94453,1,0.98714,0.73273,0.98223,0.72113,0.91965,0.000505,0.000505,0.000505
52,100.105,1.1058,1.02992,0.98129,0.95516,0.99603,0.99119,0.72849,1.03373,0.67633,0.91979,0.0004951,0.0004951,0.0004951
53,101.941,1.01729,1.15962,0.99956,0.94631,0.99443,0.99119,0.7367,0.96588,0.67272,0.91177,0.0004852,0.0004852,0.0004852
54,103.801,1.03946,1.17585,0.97912,0.94937,0.99701,0.99119,0.73591,0.93311,0.65213,0.91191,0.0004753,0.0004753,0.0004753
55,105.619,1.07593,1.1301,1.01204,0.94937,0.99701,0.99119,0.73591,0.93311,0.65213,0.91191,0.0004654,0.0004654,0.0004654
