epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,955.678,1.16547,0.99811,0.96728,0.90739,1,0.97929,0.68069,1.11483,1.04432,0.93367,0.000510824,0.000510824,0.000510824
44,977.573,1.11637,0.91589,0.97239,0.88653,1,0.97524,0.70191,1.05645,0.98996,0.93697,0.000499176,0.000499176,0.000499176
45,999.396,1.1086,1.00004,0.95072,0.88903,1,0.97929,0.72781,0.98267,1.00386,0.92357,0.000487529,0.000487529,0.000487529
46,1021.63,1.08436,0.99842,0.98908,0.92582,0.9978,0.97929,0.74283,0.96812,0.94805,0.91072,0.000475882,0.000475882,0.000475882
47,1043.32,1.11712,0.91112,0.92651,0.92582,0.9978,0.97929,0.74283,0.96812,0.94805,0.91072,0.000464235,0.000464235,0.000464235
48,1065.41,1.15561,1.00039,0.96016,0.94385,0.98624,0.99119,0.75531,0.98112,0.92804,0.90656,0.000452588,0.000452588,0.000452588
49,1087.11,1.04889,0.9372,0.94347,0.9412,0.9962,0.99119,0.75265,0.99548,0.92305,0.90319,0.000440941,0.000440941,0.000440941
50,1108.79,1.08448,0.94852,0.94512,0.94912,1,0.99119,0.71189,1.01688,0.91401,0.90491,0.000429294,0.000429294,0.000429294
51,1130.65,1.08024,0.92845,1.01615,0.94912,1,0.99119,0.71189,1.01688,0.91401,0.90491,0.000417647,0.000417647,0.000417647
52,1152.23,1.12172,0.99352,0.98249,0.94031,1,0.98714,0.71923,1.00774,0.89199,0.90404,0.000406,0.000406,0.000406
53,1174.93,1.05283,0.9344,0.96379,0.93964,1,0.97929,0.7328,0.97224,0.86146,0.89923,0.000394353,0.000394353,0.000394353
54,1197.06,1.02824,0.92609,0.97953,0.94151,1,0.97929,0.7424,0.95023,0.84534,0.89249,0.000382706,0.000382706,0.000382706
55,1218.77,1.07027,0.87552,0.94521,0.94151,1,0.97929,0.7424,0.95023,0.84534,0.89249,0.000371059,0.000371059,0.000371059
56,1241.3,1.15755,0.90791,0.99832,0.95229,0.99973,0.97524,0.74358,0.94618,0.84399,0.89321,0.000359412,0.000359412,0.000359412
57,1264.57,1.14866,0.98401,1.00205,0.94898,0.99315,0.97524,0.7442,0.95684,0.87641,0.89646,0.000347765,0.000347765,0.000347765
